"person","net worth","company"
"Person","Net worth (Billion Dollars)","Net worth (Billion Dollars)"
"Person",,"$250.2 "
"1. Elon R Musk ",,"$153"
"2.  Bernard Arnault & Family",,"$146"
"3. Jeff Bezos ",,"$109.9"
"3. Jeff Bezos ",,"$102.7"
"4. Gautam Adani & Family",,"$.99.4"
"4. Gautam Adani & Family",,"$95.4"
"5. Bill Gates",,"$93.7"
"5. Bill Gates",,"$89.8"
"6. Larry Ellison",,"$84.4"
"6. Larry Ellison",,"78.5 "
"7. Warren Buffett",,"$76.8"
"7. Warren Buffett",,"$69.6"
"8. Mukesh Ambani",,"$57.7"
"8. Mukesh Ambani",,"$56.7"
"9. Larry Page",,
"9. Larry Page",,
"10.  Sergey Brin ",,
"10.  Sergey Brin ",,
"11. Steve Ballmer",,
"11. Steve Ballmer",,
"12. Carlos Slim Helu and family",,
"12. Carlos Slim Helu and family",,
"13. Michael Bloomberg",,
"13. Michael Bloomberg",,
"14. Zhong Shanshan",,
"15. Francois Bettencourt Meyers & Family",,
"15. Francois Bettencourt Meyers & Family",,
"16. Jim Walton",,
"16. Jim Walton",,
"17. Julia Koch & family",,
"17. Julia Koch & family",,
"17. Charles Koch",,
"17. Charles Koch",,
"19. Mark Zuckerberg",,
"20. Rob Walton",,
